year,player,pos,college,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
2022.0,Adam Anderson,,Georgia,14.0,,,,,10.0,,,,5.5,1.0,5.0,1.0,18.0,32.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Adam Barry,,Temple,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,,,,1.0,0.0,15.0,,,,1.0,10.0,,,,,0.0,15.0,,,,1.0,0.0
2022.0,Adam Beale,,Toledo,2.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,3.0,,,,10.0,,,,1.0,10.0,0.0,4.0,1.0,,,,,,,1.0,10.0,0.0,4.0,1.0,,,,,,,1.0,0.0
2022.0,Adam Boselli,,Florida Atlantic,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Adam Cofield,,Western Kentucky,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,0.0,176.0,22.0,81.0,4.0,373.0,,4.0,549.0,1.0,10.0,0.0,176.0,22.0,,4.0,373.0,,4.0,549.0,1.0,0.0
2022.0,Adam Cohen,,UCLA,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Adam Higuera,,Tulsa,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Adam Jones,,Arkansas State,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,1.0,194.0,14.0,,,,,,,1.0,10.0,1.0,194.0,14.0,,,,,,,1.0,0.0
2022.0,Adam Korsak,,Rutgers,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,,,,1.0,0.0,-8.0,,,,1.0,10.0,,,,,0.0,-8.0,,,,1.0,0.0
2022.0,Adam Luehrman,,Ohio,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,0.0,27.0,4.0,,,,,,,1.0,10.0,0.0,27.0,4.0,,,,,,,1.0,0.0
2022.0,Adam Plant Jr.,,UNLV,19.0,,,,,10.0,,,,7.5,0.0,3.5,1.0,26.0,45.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Adam Shibley,,Notre Dame,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,2.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Adam Sparks,,Louisiana Monroe,19.0,,2.0,,,10.0,,,,0.0,3.0,0.0,1.0,29.0,48.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Adarious Jones,,Texas A&M,7.0,,,,,10.0,,,,0.5,0.0,0.5,1.0,5.0,12.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Addison Trupp,,Utah State,2.0,,,,,10.0,,,,0.5,0.0,0.0,1.0,2.0,4.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
